Depart,Start,End,Return,First,Last,Amount
2022-11-29T17:40:00,2022-11-29T18:05:00,2022-11-29T19:25:00,2022-11-29T20:00:00,397,403,6
2022-11-30T18:10:00,2022-11-30T18:10:00,2022-11-30T20:10:00,2022-11-30T20:50:00,403,413,10
2022-12-01T17:35:00,2022-12-01T18:06:00,2022-12-01T20:05:00,2022-12-01T20:50:00,413,421,8
2022-12-02T17:40:00,2022-12-02T18:11:00,2022-12-02T19:40:00,2022-12-02T21:00:00,421,425,4
2022-12-03T19:45:00,2022-12-03T19:45:00,2022-12-03T20:30:00,2022-12-03T20:30:00,425,426,1
2022-12-04T16:14:00,2022-12-04T16:35:00,2022-12-04T19:25:00,2022-12-04T19:25:00,426,430,4
2022-12-05T20:05:00,2022-12-05T20:05:00,2022-12-05T20:10:00,2022-12-05T20:10:00,430,431,1
2022-12-06T17:10:00,2022-12-06T17:51:00,2022-12-06T19:05:00,2022-12-06T19:18:00,431,435,4
2022-12-07T18:15:00,2022-12-07T18:15:00,2022-12-07T19:55:00,2022-12-07T20:05:00,435,441,6
2022-12-08T16:37:00,2022-12-08T16:53:00,2022-12-08T18:28:00,2022-12-08T18:40:00,441,449,8
2022-12-09T17:22:00,2022-12-09T17:40:00,2022-12-09T19:50:00,2022-12-09T20:10:00,449,457,8
2022-12-10T13:45:00,2022-12-10T13:57:00,2022-12-10T16:15:00,2022-12-10T17:05:00,457,461,4
2022-12-12T17:39:00,2022-12-12T18:03:00,2022-12-12T19:44:00,2022-12-12T19:53:00,461,469,8
2022-12-13T17:01:00,2022-12-13T17:01:00,2022-12-13T17:13:00,2022-12-13T17:13:00,469,470,1
2022-12-14T18:30:00,2022-12-14T18:30:00,2022-12-14T19:30:00,2022-12-14T19:30:00,470,474,4
2022-12-15T18:00:00,2022-12-15T18:00:00,2022-12-15T19:20:00,2022-12-15T19:20:00,474,478,4
2022-12-16T18:00:00,2022-12-16T18:15:00,2022-12-16T18:54:00,2022-12-16T19:09:00,478,480,2
2022-12-17T14:30:00,2022-12-17T15:00:00,2022-12-17T16:16:00,2022-12-17T17:00:00,480,484,4
2022-12-19T17:50:00,2022-12-19T18:02:00,2022-12-19T19:18:00,2022-12-19T19:35:00,484,486,2
2022-12-30T18:26:00,2022-12-30T18:26:00,2022-12-30T20:00:00,2022-12-30T20:00:00,486,491,5
2023-01-04T18:00:00,2023-01-04T18:00:00,2023-01-04T18:35:00,2023-01-04T18:35:00,491,491,0
2023-01-10T18:03:00,2023-01-10T18:03:00,2023-01-10T19:35:00,2023-01-10T19:35:00,491,491,0
2023-01-11T17:40:00,2023-01-11T17:40:00,2023-01-11T18:35:00,2023-01-11T18:35:00,491,492,1
2023-01-17T17:35:00,2023-01-17T17:45:00,2023-01-17T18:48:00,2023-01-17T19:01:00,492,492,0
2023-01-18T18:17:00,2023-01-18T18:17:00,2023-01-18T19:20:00,2023-01-18T19:20:00,492,492,0
2023-01-23T17:28:00,2023-01-23T17:59:00,2023-01-23T18:58:00,2023-01-23T19:00:00,492,492,0
